ID	Level	Lokasi Modul
B0.1	L1	Bab 1
B0.2	L2	Bab 1
B0.3	L3	Bab 1
B0.4	L4	Bab 1
B0.5	L5	Bab 1
B1.1	L1	Praktikum 1
B1.2	L2	Praktikum 1
B1.3	L3	Praktikum 1
B1.4	L4	Praktikum 1
B1.5	L5	Praktikum 1
B2.1	L1	Praktikum 1
B2.2	L2	Praktikum 1
B2.3	L3	Praktikum 1
B2.4	L4	Praktikum 1
B2.5	L5	Praktikum 1
B3.1	L1	Praktikum 2
B3.2	L2	Praktikum 2
B3.3	L3	Praktikum 2
B3.4	L4	Praktikum 2
B3.5	L5	Praktikum 2
B4.1	L1	Praktikum 3
B4.2	L2	Praktikum 3
B4.3	L3	Praktikum 3
B4.4	L4	Praktikum 3
B4.5	L5	Praktikum 3
B5.1	L1	Praktikum 4
B5.2	L2	Praktikum 4
B5.3	L3	Praktikum 4
B5.4	L4	Praktikum 4
B5.5	L5	Praktikum 5
B6.1	L1	Praktikum 6
B6.2	L2	Praktikum 6
B6.3	L3	Praktikum 6
B6.4	L4	Praktikum 7
B6.5	L5	Praktikum 7
B7.1	L1	Praktikum 8
B7.2	L2	Praktikum 8
B7.3	L3	Praktikum 9
B7.4	L4	Praktikum 9
B7.5	L5	Praktikum 9
UTS.1	L3	Mock-Up UTS
UTS.2	L4	Mock-Up UTS
UTS.3	L4	Mock-Up UTS
UTS.4	L5	Mock-Up UTS
UAS.1	L3	Mock-Up UAS
UAS.2	L4	Mock-Up UAS
UAS.3	L4	Mock-Up UAS
UAS.4	L5	Mock-Up UAS
